uniqueID,drugName,condition,review,rating,date,usefulCount,review_cleaned,sentiment_simple,security_alert,drug_name_grouped
206461,Valsartan,Left Ventricular Dysfunction,"""It has no side effect, I take it in combination of Bystolic 5 Mg and Fish Oil""",9,2012-05-20,27,it has no side effect i take it in combination of bystolic 5 mg and fish oil,Positive,0,Valsartan
95260,Guanfacine,ADHD,"""My son is halfway through his fourth week of Intuniv. We became concerned when he began this last week, when he started taking the highest dose he will be on. For two days, he could hardly get out of bed, was very cranky, and slept for nearly 8 hours on a drive home from school vacation (very unusual for him.) I called his doctor on Monday morning and she said to stick it out a few days. See how he did at school, and with getting up in the morning. The last two days have been problem free. He is MUCH more agreeable than ever. He is less emotional (a good thing), less cranky. He is remembering all the things he should. Overall his behavior is better. 
We have tried many different medications and so far this is the most effective.""",8,2010-04-27,192,my son is halfway through his fourth week of intuniv we became concerned when he began this last week when he started taking the highest dose he will be on for two days he could hardly get out of bed was very cranky and slept for nearly 8 hours on a drive home from school vacation very unusual for him i called his doctor on monday morning and she said to stick it out a few days see how he did at school and with getting up in the morning the last two days have been problem free he is much more agreeable than ever he is less emotional a good thing less cranky he is remembering all the things he should overall his behavior is better we have tried many different medications and so far this is the most effective,Positive,0,Guanfacine
92703,Lybrel,Birth Control,"""I used to take another oral contraceptive, which had 21 pill cycle, and was very happy- very light periods, max 5 days, no other side effects. But it contained hormone gestodene, which is not available in US, so I switched to Lybrel, because the ingredients are similar. When my other pills ended, I started Lybrel immediately, on my first day of period, as the instructions said. And the period lasted for two weeks. When taking the second pack- same two weeks. And now, with third pack things got even worse- my third period lasted for two weeks and now it&#039;s the end of the third week- I still have daily brown discharge.
The positive side is that I didn&#039;t have any other side effects. The idea of being period free was so tempting... Alas.""",5,2009-12-14,17,i used to take another oral contraceptive which had 21 pill cycle and was very happy very light periods max 5 days no other side effects but it contained hormone gestodene which is not available in us so i switched to lybrel because the ingredients are similar when my other pills ended i started lybrel immediately on my first day of period as the instructions said and the period lasted for two weeks when taking the second pack same two weeks and now with third pack things got even worse my third period lasted for two weeks and now it s the end of the third week i still have daily brown discharge the positive side is that i didn t have any other side effects the idea of being period free was so tempting alas,Neutral,0,Lybrel
138000,Ortho Evra,Birth Control,"""This is my first time using any form of birth control. I&#039;m glad I went with the patch, I have been on it for 8 months. At first It decreased my libido but that subsided. The only downside is that it made my periods longer (5-6 days to be exact) I used to only have periods for 3-4 days max also made my cramps intense for the first two days of my period, I never had cramps before using birth control. Other than that in happy with the patch""",8,2015-11-03,10,this is my first time using any form of birth control i m glad i went with the patch i have been on it for 8 months at first it decreased my libido but that subsided the only downside is that it made my periods longer 5 6 days to be exact i used to only have periods for 3 4 days max also made my cramps intense for the first two days of my period i never had cramps before using birth control other than that in happy with the patch,Positive,0,Ortho Evra
35696,Buprenorphine / naloxone,Opiate Dependence,"""Suboxone has completely turned my life around.  I feel healthier, I&#039;m excelling at my job and I always have money in my pocket and my savings account.  I had none of those before Suboxone and spent years abusing oxycontin.  My paycheck was already spent by the time I got it and I started resorting to scheming and stealing to fund my addiction.  All that is history.  If you&#039;re ready to stop, there&#039;s a good chance that suboxone will put you on the path of great life again.  I have found the side-effects to be minimal compared to oxycontin.  I&#039;m actually sleeping better.   Slight constipation is about it for me.  It truly is amazing. The cost pales in comparison to what I spent on oxycontin.""",9,2016-11-27,37,suboxone has completely turned my life around i feel healthier i m excelling at my job and i always have money in my pocket and my savings account i had none of those before suboxone and spent years abusing oxycontin my paycheck was already spent by the time i got it and i started resorting to scheming and stealing to fund my addiction all that is history if you re ready to stop there s a good chance that suboxone will put you on the path of great life again i have found the side effects to be minimal compared to oxycontin i m actually sleeping better slight constipation is about it for me it truly is amazing the cost pales in comparison to what i spent on oxycontin,Positive,0,Buprenorphine / naloxone
155963,Cialis,Benign Prostatic Hyperplasia,"""2nd day on 5mg started to work with rock hard erections however experianced headache, lower bowel preassure. 3rd day erections would wake me up &amp; hurt! Leg/ankles aches   severe lower bowel preassure like you need to go #2 but can&#039;t! Enjoyed the initial rockhard erections but not at these side effects or $230 for months supply! I&#039;m 50 &amp; work out 3Xs a week. Not worth side effects!""",2,2015-11-28,43,2nd day on 5mg started to work with rock hard erections however experianced headache lower bowel preassure 3rd day erections would wake me up hurt leg ankles aches severe lower bowel preassure like you need to go 2 but can t enjoyed the initial rockhard erections but not at these side effects or 230 for months supply i m 50 work out 3xs a week not worth side effects,Negative,0,Cialis
165907,Levonorgestrel,Emergency Contraception,"""He pulled out, but he cummed a bit in me. I took the Plan B 26 hours later, and took a pregnancy test two weeks later - - I&#039;m pregnant.""",1,2017-03-07,5,he pulled out but he cummed a bit in me i took the plan b 26 hours later and took a pregnancy test two weeks later i m pregnant,Negative,0,Levonorgestrel
102654,Aripiprazole,Bipolar Disorde,"""Abilify changed my life. There is hope. I was on Zoloft and Clonidine when I first started Abilify at the age of 15.. Zoloft for depression and Clondine to manage my complete rage. My moods were out of control. I was depressed and hopeless one second and then mean, irrational, and full of rage the next. My Dr. prescribed me 2mg of Abilify and from that point on I feel like I have been cured though I know I&#039;m not.. Bi-polar disorder is a constant battle. I know Abilify works for me because I have tried to get off it and lost complete control over my emotions. Went back on it and I was golden again.  I am on 5mg 2x daily. I am now 21 and better than I have ever been in the past. Only side effect is I like to eat a lot.""",10,2015-03-14,32,abilify changed my life there is hope i was on zoloft and clonidine when i first started abilify at the age of 15 zoloft for depression and clondine to manage my complete rage my moods were out of control i was depressed and hopeless one second and then mean irrational and full of rage the next my dr prescribed me 2mg of abilify and from that point on i feel like i have been cured though i know i m not bi polar disorder is a constant battle i know abilify works for me because i have tried to get off it and lost complete control over my emotions went back on it and i was golden again i am on 5mg 2x daily i am now 21 and better than i have ever been in the past only side effect is i like to eat a lot,Positive,0,Aripiprazole
74811,Keppra,Epilepsy,""" I Ve had  nothing but problems with the Keppera : constant shaking in my arms &amp; legs &amp; pins &amp; needles feeling in my arms &amp; legs severe light headedness no appetite &amp; etc.""",1,2016-08-09,11,i ve had nothing but problems with the keppera constant shaking in my arms legs pins needles feeling in my arms legs severe light headedness no appetite etc,Negative,0,Keppra
48928,Ethinyl estradiol / levonorgestrel,Birth Control,"""I had been on the pill for many years. When my doctor changed my RX to chateal, it was as effective. It really did help me by completely clearing my acne, this takes about 6 months though. I did not gain extra weight, or develop any emotional health issues. I stopped taking it bc I started using a more natural method of birth control, but started to take it bc I hate that my acne came back at age 28. I really hope symptoms like depression, or weight gain do not begin to affect me as I am older now. I&#039;m also naturally moody, so this may worsen things. I was in a negative mental rut today. Also I hope this doesn&#039;t push me over the edge, as I believe I am depressed. Hopefully it&#039;ll be just like when I was younger.""",8,2016-12-08,1,i had been on the pill for many years when my doctor changed my rx to chateal it was as effective it really did help me by completely clearing my acne this takes about 6 months though i did not gain extra weight or develop any emotional health issues i stopped taking it bc i started using a more natural method of birth control but started to take it bc i hate that my acne came back at age 28 i really hope symptoms like depression or weight gain do not begin to affect me as i am older now i m also naturally moody so this may worsen things i was in a negative mental rut today also i hope this doesn t push me over the edge as i believe i am depressed hopefully it ll be just like when i was younger,Positive,0,Ethinyl estradiol / levonorgestrel
29607,Topiramate,Migraine Prevention,"""I have been on this medication almost two weeks, started out on 25mg and working my way up to 100mg, currently at 50mg. No headaches at all so far and I was having 2-3 crippling migraines a week. I have lost 5.2lbs so far but note I am really paying close attention to what I am eating, I have a lot of weight to lose and if weight loss is a side effect I want to help it along as much as I can.  Now, other side effects, they are there the word recall issues exist, the memory issues, the worst of it seems to be the vision disturbances, there have been times I have just not driven because I&#039;m sure it would not have been safe. The good news is it seems to be wearing off...I have tons of energy and I am in a great mood.""",9,2015-01-01,19,i have been on this medication almost two weeks started out on 25mg and working my way up to 100mg currently at 50mg no headaches at all so far and i was having 2 3 crippling migraines a week i have lost 5 2lbs so far but note i am really paying close attention to what i am eating i have a lot of weight to lose and if weight loss is a side effect i want to help it along as much as i can now other side effects they are there the word recall issues exist the memory issues the worst of it seems to be the vision disturbances there have been times i have just not driven because i m sure it would not have been safe the good news is it seems to be wearing off i have tons of energy and i am in a great mood,Positive,0,Topiramate
75612,L-methylfolate,Depression,"""I have taken anti-depressants for years, with some improvement but mostly moderate to severe side affects, which makes me go off them.

I only take Cymbalta now mostly for pain.

When I began Deplin, I noticed a major improvement overnight. More energy, better disposition, and no sinking to the low lows of major depression. I have been taking it for about 3 months now and feel like a normal person for the first time ever. Best thing, no side effects.""",10,2017-03-09,54,i have taken anti depressants for years with some improvement but mostly moderate to severe side affects which makes me go off them i only take cymbalta now mostly for pain when i began deplin i noticed a major improvement overnight more energy better disposition and no sinking to the low lows of major depression i have been taking it for about 3 months now and feel like a normal person for the first time ever best thing no side effects,Positive,0,L-methylfolate
191290,Pentasa,Crohn's Disease,"""I had Crohn&#039;s with a resection 30 years ago and have been mostly in remission since.  Have recently had a bad flare and narrowing at the anastomosis and need to be on medication, but haven&#039;t found one that I can handle.  Asacol gave me such serious body aching and fatigue that I could not function.  Pentasa immediately gave me heart palpitations and arrhythmias so I had to discontinue it.""",4,2013-07-06,8,i had crohn s with a resection 30 years ago and have been mostly in remission since have recently had a bad flare and narrowing at the anastomosis and need to be on medication but haven t found one that i can handle asacol gave me such serious body aching and fatigue that i could not function pentasa immediately gave me heart palpitations and arrhythmias so i had to discontinue it,Neutral,0,Pentasa
221320,Dextromethorphan,Cough,"""Have a little bit of a lingering cough from a cold. Not giving me much trouble except keeps me up at night. I heard this was good so I took so I could get some sleep. Helped tremendously with the cough but then I was having bad stomach cramps and diarrhea. I hadn&#039;t eaten anything that should have upset my stomach and it didn&#039;t really feel like a &quot;bug&quot; so I looked up side effects for Delsym.  Now I wish I had done that first because I probably wouldn&#039;t have taken it. So, while it worked for my cough I still didn&#039;t get any sleep due to the stomach issues.""",4,2017-09-07,1,have a little bit of a lingering cough from a cold not giving me much trouble except keeps me up at night i heard this was good so i took so i could get some sleep helped tremendously with the cough but then i was having bad stomach cramps and diarrhea i hadn t eaten anything that should have upset my stomach and it didn t really feel like a quot bug quot so i looked up side effects for delsym now i wish i had done that first because i probably wouldn t have taken it so while it worked for my cough i still didn t get any sleep due to the stomach issues,Neutral,0,Dextromethorphan
98494,Nexplanon,Birth Control,"""Started Nexplanon 2 months ago because I have a minimal amount of contraception&#039;s I can take due to my inability to take the hormone that is used in most birth controls. I&#039;m trying to give it time because it is one of my only options right now. But honestly if I had options I&#039;d get it removed.
I&#039;ve never had acne problems in my life, and immediately broke out after getting it implanted. Sex drive is completely gone, and I used to have sex with my boyfriend a few days a week, now its completely forced and not even fun for me anymore. I mean I&#039;m on birth control because I like having sex but don&#039;t want to get pregnant, why take a birth control that takes away sex? Very unhappy and hope that I get it back with time or I&#039;m getting it removed.""",3,2014-08-07,10,started nexplanon 2 months ago because i have a minimal amount of contraception s i can take due to my inability to take the hormone that is used in most birth controls i m trying to give it time because it is one of my only options right now but honestly if i had options i d get it removed i ve never had acne problems in my life and immediately broke out after getting it implanted sex drive is completely gone and i used to have sex with my boyfriend a few days a week now its completely forced and not even fun for me anymore i mean i m on birth control because i like having sex but don t want to get pregnant why take a birth control that takes away sex very unhappy and hope that i get it back with time or i m getting it removed,Negative,0,Nexplanon
81890,Liraglutide,Obesity,"""I have been taking Saxenda since July 2016.  I had severe nausea for about a month once I got up to the 2.6 dosage.  It has since subsided and the only side effect I notice now is the dry mouth.  I make sure to drink  2.5 litres of water a day (about 10 glasses).  This helps with the weight loss as well as the constipation.  I have been reducing my dose to find a comfortable spot where I am still losing weight but don&#039;t feel like I am over medicating.  For me, 1.8 is working very well.  I also feel wearing a Fitbit has really helped.  I can track my food, water, exercise and steps - it keeps me moving more.  When this started I could barely walk the length of myself without getting winded - I have lost 58 lbs so far.""",9,2017-01-19,20,i have been taking saxenda since july 2016 i had severe nausea for about a month once i got up to the 2 6 dosage it has since subsided and the only side effect i notice now is the dry mouth i make sure to drink 2 5 litres of water a day about 10 glasses this helps with the weight loss as well as the constipation i have been reducing my dose to find a comfortable spot where i am still losing weight but don t feel like i am over medicating for me 1 8 is working very well i also feel wearing a fitbit has really helped i can track my food water exercise and steps it keeps me moving more when this started i could barely walk the length of myself without getting winded i have lost 58 lbs so far,Positive,0,Liraglutide
48188,Trimethoprim,Urinary Tract Infection,"""This drug worked very well for me and cleared up my UTI in a matter of 48hrs, although I was on a 7 day course of 2x200mg/daily. Unfortunately once the tablets finished the infection returned so needed a 2nd course. I&#039;m currently taking a low dose at evening to keep the infection at bay while the specialists do some tests.  I normally get every side effect going and dread taking new medication in any form especially after an horrific experience with Ciorofloxacin but the only side effect I experienced with this was itchy ankles and feet on day two but that didn&#039;t last into third day so I would class this as a minor side effect and insignificant. Good luck.""",9,2017-09-22,0,this drug worked very well for me and cleared up my uti in a matter of 48hrs although i was on a 7 day course of 2x200mg daily unfortunately once the tablets finished the infection returned so needed a 2nd course i m currently taking a low dose at evening to keep the infection at bay while the specialists do some tests i normally get every side effect going and dread taking new medication in any form especially after an horrific experience with ciorofloxacin but the only side effect i experienced with this was itchy ankles and feet on day two but that didn t last into third day so i would class this as a minor side effect and insignificant good luck,Positive,0,OTHER_NICHE_DRUGS
219869,Amitriptyline,ibromyalgia,"""I&#039;ve been taking amitriptyline since January 2013 after being diagnosed with fibromyalgia. I tried cymbalta for a week and my Dr decided that since it kept me awake 24/7 that it wasn&#039;t a good fit for me even though it relieved my pain. I started with 25 mg. After 2 weeks I had some breakthrough pain, so my Dr increased my dosage to 50mg and I&#039;m still on that dosage today. For the first full year I was on this I never had pain and felt &#039;cured&#039;. As time went on, it seems to help control my pain. I do still have pain, but at a low manageable level. I take this around 7pm each evening to avoid feeling overly drowsy in the mornings. This med allows me to have a fairly normal life.""",9,2017-03-15,39,i ve been taking amitriptyline since january 2013 after being diagnosed with fibromyalgia i tried cymbalta for a week and my dr decided that since it kept me awake 24 7 that it wasn t a good fit for me even though it relieved my pain i started with 25 mg after 2 weeks i had some breakthrough pain so my dr increased my dosage to 50mg and i m still on that dosage today for the first full year i was on this i never had pain and felt cured as time went on it seems to help control my pain i do still have pain but at a low manageable level i take this around 7pm each evening to avoid feeling overly drowsy in the mornings this med allows me to have a fairly normal life,Positive,0,Amitriptyline
212077,Lamotrigine,Bipolar Disorde,"""I&#039;ve been on every medicine under the sun (it seems) to manage the hypomania / mania of Bipolar2. Within a few days of starting Lamictal (was on Tegretol) it was as if someone had turned a light on in my head. Is this the way &quot;normal&quot; people think? was one of the first things that struck me. I sleep like a log, have no irritability, almost no anger (other than what would be considered normal). I am able to focus and my creative, impulsive thoughts have decreased enough to be manageable. It&#039;s a God send as I would perennially be in a state of hypo mania, which sounds great, but I was physically and emotionally exhausted. My libido is markedly lower but I wonder if that is perhaps an effect of not being hypo manic. I take 20 mg for anxiety.""",10,2014-11-09,18,i ve been on every medicine under the sun it seems to manage the hypomania mania of bipolar2 within a few days of starting lamictal was on tegretol it was as if someone had turned a light on in my head is this the way quot normal quot people think was one of the first things that struck me i sleep like a log have no irritability almost no anger other than what would be considered normal i am able to focus and my creative impulsive thoughts have decreased enough to be manageable it s a god send as i would perennially be in a state of hypo mania which sounds great but i was physically and emotionally exhausted my libido is markedly lower but i wonder if that is perhaps an effect of not being hypo manic i take 20 mg for anxiety,Positive,0,Lamotrigine
119705,Nilotinib,Chronic Myelogenous Leukemia,"""I have been on Tasigna for just over 3 years now (300mg x 2 times a day) Tasigna worked for me within a few weeks I have been in remission for basically the entire 3 years. As for the side effects, I feel sick to my stomach, tired,  severe leg and arm pain, I can&#039;t walk to long without needing a break, I went from working full time to not working at all because I am so tired all the time.... but hey I am in remission and alive so is all the above really a problem? Nope""",10,2015-09-01,11,i have been on tasigna for just over 3 years now 300mg x 2 times a day tasigna worked for me within a few weeks i have been in remission for basically the entire 3 years as for the side effects i feel sick to my stomach tired severe leg and arm pain i can t walk to long without needing a break i went from working full time to not working at all because i am so tired all the time but hey i am in remission and alive so is all the above really a problem nope,Positive,0,Nilotinib
12372,Atripla,HIV Infection,"""Spring of 2008 I was hospitalized with pnuemonia and diagnosed with Lyme diease and full blown AIDS with CD4 count of &quot;11&quot; viral load some number so high in the millions I could never remember. I was taking Combivir and Kaletra with Dapsone for the 1st year then it stopped working. I started Kaletra with the Dapsone my CD4 count is now 209 and rising. For a few weeks I was very aggressive and broke all my dishes in the house LOL. I take vitamin supplements and drink a boost pluz every day. LIfe is good now!""",8,2010-07-09,11,spring of 2008 i was hospitalized with pnuemonia and diagnosed with lyme diease and full blown aids with cd4 count of quot 11 quot viral load some number so high in the millions i could never remember i was taking combivir and kaletra with dapsone for the 1st year then it stopped working i started kaletra with the dapsone my cd4 count is now 209 and rising for a few weeks i was very aggressive and broke all my dishes in the house lol i take vitamin supplements and drink a boost pluz every day life is good now,Positive,1,Atripla
231466,Trazodone,Insomnia,"""I have insomnia, it&#039;s horrible. My story begins with my PCP prescribing me Prozac to help with intestinal issues, because I was desperate I tried it, I was on it for 3 weeks. Stopped because of insomnia. Then I was prescribed Ativan, it out me out, but was very addicting. I had rebound insomnia. Then after about 14 days I hardly any sleep l tried the doctor one more time. I asked him about Trazadone. He told me that was a good medication for insomnia. He put me on 25 mgs, but stated I may have to figure out what dosage is best for me. I am currently taking 100 mgs, which is on the low range of what is prescribed, 400 mgs being at the high end for insomnia. I have the dry mouth and nasel congestion. I can live with that, I sleep now, yeah...""",10,2016-04-03,43,i have insomnia it s horrible my story begins with my pcp prescribing me prozac to help with intestinal issues because i was desperate i tried it i was on it for 3 weeks stopped because of insomnia then i was prescribed ativan it out me out but was very addicting i had rebound insomnia then after about 14 days i hardly any sleep l tried the doctor one more time i asked him about trazadone he told me that was a good medication for insomnia he put me on 25 mgs but stated i may have to figure out what dosage is best for me i am currently taking 100 mgs which is on the low range of what is prescribed 400 mgs being at the high end for insomnia i have the dry mouth and nasel congestion i can live with that i sleep now yeah,Positive,0,Trazodone
227020,Etonogestrel,Birth Control,"""Nexplanon does its job. I can have worry free sex. The only thing is that my periods are sometimes light and sometimes heavy. Sometimes they go away and sometimes they show up unexpected. I also feel somewhat depressed. Not sure if its Nexplanon or not. I&#039;ve had Nexplanont for about 2 months now, but despite the side effects its the most effective birth control I&#039;ve ever used and I do not plan on taking it out.""",9,2014-08-11,11,nexplanon does its job i can have worry free sex the only thing is that my periods are sometimes light and sometimes heavy sometimes they go away and sometimes they show up unexpected i also feel somewhat depressed not sure if its nexplanon or not i ve had nexplanont for about 2 months now but despite the side effects its the most effective birth control i ve ever used and i do not plan on taking it out,Positive,0,Etonogestrel
41928,Etanercept,Rheumatoid Arthritis,"""I live in Western Australia and disturbed by some comments on here. The cost of Embrel is cost of an ordinary prescription $36 for me the government pays the remainder of the cost to the chemist. I also go to the the medical centre every Saturday morning a Dr looks over my prescription and then he advises the nurse to administer the injection also no cost to myself and this is part of nurses duties. I am unsure of the country where people who have made comments referring to cost and that nobody is there to  administer the injection for them. I am very lucky to live in Australia as we have the best health system worldwide and everybody is  given the opportunity to receive proper medical help whether you are rich or poor there is no discrimination.""",10,2017-09-16,4,i live in western australia and disturbed by some comments on here the cost of embrel is cost of an ordinary prescription 36 for me the government pays the remainder of the cost to the chemist i also go to the the medical centre every saturday morning a dr looks over my prescription and then he advises the nurse to administer the injection also no cost to myself and this is part of nurses duties i am unsure of the country where people who have made comments referring to cost and that nobody is there to administer the injection for them i am very lucky to live in australia as we have the best health system worldwide and everybody is given the opportunity to receive proper medical help whether you are rich or poor there is no discrimination,Positive,0,Etanercept
213649,Tioconazole,Vaginal Yeast Infection,"""Do not use the cream that comes with this. It turned my hoo-ha into a burning ring of fire. It is 1 am and I have to work tomorrow. It&#039;s going to be a sleepless night for me""",1,2017-04-17,7,do not use the cream that comes with this it turned my hoo ha into a burning ring of fire it is 1 am and i have to work tomorrow it s going to be a sleepless night for me,Negative,0,Tioconazole
51215,Azithromycin,Chlamydia Infection,"""Was prescribed one dose over the course of one day, took 4 pills of 250mg after a light lunch, and had nausea and mild stomach pains/upset. Lying down did not alleviate the discomfort and threw up 3 hours later. Called up my doctor to check if I needed to take another dose but he said my body would have absorbed the pills by then. Still experiencing mild stomach pains but nausea is mostly gone now.""",7,2015-12-14,7,was prescribed one dose over the course of one day took 4 pills of 250mg after a light lunch and had nausea and mild stomach pains upset lying down did not alleviate the discomfort and threw up 3 hours later called up my doctor to check if i needed to take another dose but he said my body would have absorbed the pills by then still experiencing mild stomach pains but nausea is mostly gone now,Positive,0,Azithromycin
206180,Eflornithine,Hirsutism,"""I&#039;m writing a second review on Vaniqa.  I started using this in February this year. Twice a day although some days/times I do forget. I just want to say how delighted I am to have found this. It has totally and completely changed my life! I had terrible male pattern hair growth all over my cheeks, chin, upper and lower lip and starting to grow down my neck. I used to pluck for up to 2 hrs a time every 3rd day but was never hair free. I wouldn&#039;t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin. 3 months on im not scared of being caught in bright sunlight I pluck around once a fortnight and it takes around 10 mins. The hairs that are coming through are soft and downy. My life is transformed.""",10,2014-05-11,99,i m writing a second review on vaniqa i started using this in february this year twice a day although some days times i do forget i just want to say how delighted i am to have found this it has totally and completely changed my life i had terrible male pattern hair growth all over my cheeks chin upper and lower lip and starting to grow down my neck i used to pluck for up to 2 hrs a time every 3rd day but was never hair free i wouldn t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin 3 months on im not scared of being caught in bright sunlight i pluck around once a fortnight and it takes around 10 mins the hairs that are coming through are soft and downy my life is transformed,Positive,0,Eflornithine
78563,Daytrana,ADHD,"""Hi all, My son who is 12 was diagnosed when he was in 2nd grade. We tried everything before medication. When we tried meds, the first one made him loose weight, fast. The second gave him a nasty tic that thankfully went away as soon as he stopped the med, the third worked for a couple of years and around January of last year we started to have problems so his doctor recommended Daytrana. It has been wonderful for my son! Easy to use, he handles this for himself each day and takes it off when he gets home from school. The patch effects last long enough for him to do his homework. He does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down. The shortage is KILLING us!""",10,2017-01-12,11,hi all my son who is 12 was diagnosed when he was in 2nd grade we tried everything before medication when we tried meds the first one made him loose weight fast the second gave him a nasty tic that thankfully went away as soon as he stopped the med the third worked for a couple of years and around january of last year we started to have problems so his doctor recommended daytrana it has been wonderful for my son easy to use he handles this for himself each day and takes it off when he gets home from school the patch effects last long enough for him to do his homework he does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down the shortage is killing us,Positive,0,Daytrana
132258,Ativan,Panic Disorde,"""Honestly, I have been taking ativan for 2 years now 1mg twice daily.  It does help but it should be used as a tool for panic attacks NOT A SOLUTION.  I have tried so many anti-depressants as well such as cymbalta, cipralex and a couple more.  The best thing is to talk to close friends and family or even a psychiatrist.  talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it.  I would love to hear other people opinion.""",6,2015-06-01,47,honestly i have been taking ativan for 2 years now 1mg twice daily it does help but it should be used as a tool for panic attacks not a solution i have tried so many anti depressants as well such as cymbalta cipralex and a couple more the best thing is to talk to close friends and family or even a psychiatrist talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it i would love to hear other people opinion,Neutral,0,Ativan
27339,Imitrex,Migraine,"""At first I suffered through them. This included splitting head pain, nausea, and vomiting. I started using Excedrin after a while which helped if I took it right away. Then that started to not work so well anymore. I had one really bad one that lasted hours. I was still throwing up at 9 pm and I was now throwing up blood. I went to the ER and when I finally got in they put me on an IV to hydrate me. They then added Imitrex to the bag and I soon started feeling side effects. My head felt like I was going to pass out. My breathing became labored and it felt like someone was sitting on my chest. They said that meant it was working. After about two minutes everything was gone. I got pills to take at home and they worked okay. Not as fast.""",8,2012-10-16,6,at first i suffered through them this included splitting head pain nausea and vomiting i started using excedrin after a while which helped if i took it right away then that started to not work so well anymore i had one really bad one that lasted hours i was still throwing up at 9 pm and i was now throwing up blood i went to the er and when i finally got in they put me on an iv to hydrate me they then added imitrex to the bag and i soon started feeling side effects my head felt like i was going to pass out my breathing became labored and it felt like someone was sitting on my chest they said that meant it was working after about two minutes everything was gone i got pills to take at home and they worked okay not as fast,Positive,0,Imitrex
51452,Azithromycin,,"""Very good response. It is so useful for me. """,10,2010-08-18,1,very good response it is so useful for me,Positive,0,Azithromycin
96233,Sertraline,Depression,"""1 week on Zoloft for anxiety and mood swings. I take 50mg in the mornings with my breakfast. Nausea on day one  but that subsided as the week went on.  I get the jitters about 2 hrs after taking it followed by yawning. I feel much better though and less angry/stressed.""",8,2011-05-07,3,1 week on zoloft for anxiety and mood swings i take 50mg in the mornings with my breakfast nausea on day one but that subsided as the week went on i get the jitters about 2 hrs after taking it followed by yawning i feel much better though and less angry stressed,Positive,0,Sertraline
204999,Toradol,Pain,"""I am 30 years old. I had a multiple composite spinal injuries 15 years ago. The aches and pains unbearable. I started taking anti-inflammatories about 2 years ago. I started getting injections every month of Toradol and &quot;Depo&quot; something. I am almost off all pain meds I mean I still have bad days but I can function again.""",10,2013-02-11,16,i am 30 years old i had a multiple composite spinal injuries 15 years ago the aches and pains unbearable i started taking anti inflammatories about 2 years ago i started getting injections every month of toradol and quot depo quot something i am almost off all pain meds i mean i still have bad days but i can function again,Positive,0,Toradol
214453,Tioconazole,Vaginal Yeast Infection,"""The burning is out of control about 20 minutes after inserting it . Sat in the bath trying to get this stuff out . This is awful""",1,2015-09-11,2,the burning is out of control about 20 minutes after inserting it sat in the bath trying to get this stuff out this is awful,Negative,0,Tioconazole
71188,Viberzi,Irritable Bowel Syndrome,"""Have been taking Viberzi for a month now for IBS-D and I can&#039;t be happier. I have ZERO side effects. Thank you for making me normal again!!!!!!""",8,2016-07-05,15,have been taking viberzi for a month now for ibs d and i can t be happier i have zero side effects thank you for making me normal again,Positive,0,Viberzi
80520,Mobic,Osteoarthritis,"""Reduced my pain by 80% and lets me live a normal life again!""",10,2015-05-13,82,reduced my pain by 80 and lets me live a normal life again,Positive,0,Mobic
